Tournament Name,Tournament ID,Category,Date,Product,Premier Event,League Challenge,Status,Completed Date,Venue Name,Address Line 1,Address Line 2,City,Province/State,Postal/Zip Code,Country/Region,View on Map,Website,Admission,Details,Total Players,With Pokémon Trainer Club accounts,Junior Division,Senior Division,Masters Division,Event Type,Prerelease,League Cup,Junior Division Admission,Senior Division Admission,Masters Division Admission
"Kodama - Pokemon - Febrero 7, 2025",25-03-014220,TCG: Standard,"March 07, 2025",Trading Card Game,None,,Complete,"March 08, 2025",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,,,73,70,2,2,69,League,,,,,
Torneo de liga CDMX THE TOWER 31-03-25,25-03-021178,TCG: Standard,"March 31, 2025",Trading Card Game,None,,Complete,"April 02, 2025",THE TOWER TCG,1263 CALZ. DE TLALPAN,,MÉXICO D.F.,CDMX,03660,Mexico,Map,,100,,26,24,0,1,25,League,,,,,
"Kodama - Pokemon - Octubre 18, 2024",24-10-006739,TCG: Standard,"October 18, 2024",Trading Card Game,None,,Complete,"October 19, 2024",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,100,,43,41,3,0,40,League,,,,,
The Nest - Liga Pokémon - Domingo 15 de Septiembre del 2024,24-09-013486,TCG: Standard,"September 15, 2024",Trading Card Game,None,,Complete,"September 15, 2024",THE NEST GAMES,39 BALDERAS,,MÉXICO D.F.,CDMX,06000,Mexico,Map,https://www.facebook.com/thenestgames,,,19,15,0,2,17,League,,,,,
"Kodama - Pokemon - Enero 17, 2025",25-01-006878,TCG: Standard,"January 17, 2025",Trading Card Game,None,,Complete,"January 17, 2025",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,100,,65,62,1,1,63,League,,,,,
League Challenge Septiembre MdM,24-09-006294,TCG: Standard,"September 05, 2024",Trading Card Game,(2025) TCG League Challenge September,Mercado De Magos Pokemon League (September 2024),Complete,"September 06, 2024",MERCADO DE MAGOS,25 None,RIO MIXCOAC 25,MÉXICO D.F.,CDMX,03940,Mexico,Map,,,Nuestro League Challenge de Septiembre,33,33,1,0,32,League Challenge,,,0,100,100
TCG League Challenge Kodama Abril 2025,25-04-002071,TCG: Standard,"April 11, 2025",Trading Card Game,(2025) TCG League Challenge April,Kodama League (April 2025),Complete,"April 12, 2025",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,250,,51,49,0,0,51,League Challenge,,,,,
"Kodama - Pokemon - Mayo 23, 2025",25-05-013184,TCG: Standard,"May 23, 2025",Trading Card Game,None,,Complete,"May 24, 2025",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,100,,66,64,4,0,62,League,,,,,
"Kodama - Pokemon Day - Febrero 27, 2025",25-02-013979,TCG: Standard,"February 27, 2025",Trading Card Game,None,,Complete,"February 27, 2025",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,,,58,58,0,2,56,League,,,,,
"Kodama - Pokemon - Abril 25, 2025",25-04-005366,TCG: Standard,"April 25, 2025",Trading Card Game,None,,Complete,"April 26, 2025",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,100,,47,46,1,1,45,League,,,,,
Kodama Prelanzamiento: Aventuras Compartidas,25-03-007134,TCG: Limited,"March 15, 2025",Trading Card Game,(2025) Journey Together Prerelease,,Complete,"March 15, 2025",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,600,,78,76,2,1,75,Pre Release,Kodama League,,,,
LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024,24-12-000334,TCG: Standard,"December 18, 2024",Trading Card Game,(2025) TCG League Challenge December,Gamesmart (December 2024),Complete,"December 19, 2024",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,http://www.gamesmart.mx/,200,,32,31,2,1,29,League Challenge,,,,,
Pokemartes,24-09-012263,TCG: Standard,"September 10, 2024",Trading Card Game,None,,Complete,"September 12, 2024",MERCADO DE MAGOS,25 None,RIO MIXCOAC 25,MÉXICO D.F.,CDMX,03940,Mexico,Map,,$100,pokemartes,8,7,0,0,8,League,,,,,
League Cup Octubre MdM,24-10-000967,TCG: Standard,"November 02, 2024",Trading Card Game,(2025) TCG League Cup Oct-Dec,,Complete,"November 02, 2024",MERCADO DE MAGOS,25 None,RIO MIXCOAC 25,MÉXICO D.F.,CDMX,03940,Mexico,Map,,,Un league Cup Mas en el Mercado de Magos,36,33,2,0,34,League Cup,,Mercado De Magos Pokemon League,0,100,300
